Year,Country,Brand,Model,Engine_Type,Horsepower,Torque_Nm,Fuel_Efficiency_L_100km,Price_USD,Units_Sold,Market_Share_Percent,Weight_kg,Acceleration_0_100_s,CO2_Emissions_g_km
2021,Germany,Mercedes,AMG GT,V8_BiTurbo,720,800,10.5,160000,2000,1.7,1645,3.2,240
2021,Italy,Lamborghini,Huracan,V10,640,600,12.2,290000,1100,0.93,1422,2.6,275
2021,USA,Chevrolet,Corvette Z06,V8,670,880,12.8,90000,3200,2.7,1560,2.8,285
2021,Germany,Porsche,Taycan Turbo,Electric,670,1050,11.8,155000,3800,3.2,2305,2.9,0
2021,USA,Tesla,Model S Plaid,Electric,1020,1050,13.5,130000,8500,7.2,2200,2.1,0
2022,USA,Ford,Mustang Mach-E,Electric,480,814,10.3,58000,16800,13.5,2200,3.4,0
2022,Germany,Porsche,911 Carrera,Flat-6,385,450,8.4,109000,5600,4.5,1450,3.4,185
2022,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,10.4,128000,2400,1.9,1740,2.2,240
2022,Italy,Ferrari,296 GTB,V6_Hybrid,819,740,9.5,320000,1300,1.05,1470,2.9,160
2022,UK,Aston Martin,Vantage,V8,503,685,11.5,165000,750,0.6,1620,3.5,265
2022,Germany,BMW,M4,V6_Turbo,503,650,8.8,89000,8800,7.1,1600,3.4,200
2022,USA,Chevrolet,Camaro SS,V8,455,617,11.2,49000,9200,7.4,1680,3.7,250
2022,Japan,Toyota,GR Supra,I6_Turbo,382,500,9.1,68000,5200,4.2,1520,3.6,220
2022,Germany,Audi,RS5,V6_Turbo,450,600,9.4,86000,5000,4.0,1650,3.3,215
2022,UK,Jaguar,F-Type,V8,575,700,10.6,100000,2800,2.3,1650,3.1,235
2022,USA,Dodge,Challenger SRT,V8,807,958,12.0,77000,7500,6.0,1900,3.0,280
2022,Germany,Mercedes,AMG GT,V8_BiTurbo,720,800,10.3,165000,1800,1.45,1645,3.1,235
2022,Italy,Lamborghini,Huracan,V10,640,600,12.0,300000,950,0.76,1422,2.5,270
2022,USA,Chevrolet,Corvette Z06,V8,670,880,12.6,92000,2900,2.3,1560,2.7,280
2022,Germany,Porsche,Taycan Turbo,Electric,670,1050,11.5,160000,4500,3.6,2305,2.8,0
2022,USA,Tesla,Model S Plaid,Electric,1020,1050,13.2,135000,9200,7.4,2200,2.0,0
2022,China,BYD,Han EV,Electric,517,700,13.8,45000,12000,9.6,2100,3.9,0
2023,USA,Ford,Mustang Mach-E,Electric,480,814,10.1,60000,18500,14.2,2200,3.3,0
2023,Germany,Porsche,911 Carrera,Flat-6,388,450,8.2,111000,6000,4.6,1450,3.3,180
2023,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,10.2,130000,2200,1.7,1740,2.1,235
2023,Italy,Ferrari,296 GTB,V6_Hybrid,819,740,9.3,330000,1450,1.1,1470,2.85,155
2023,UK,Aston Martin,Vantage,V8,503,685,11.3,170000,820,0.63,1620,3.4,260
2023,Germany,BMW,M4,V6_Turbo,523,650,8.6,91000,9500,7.3,1600,3.3,195
2023,USA,Chevrolet,Camaro SS,V8,455,617,11.0,50000,8500,6.5,1680,3.6,245
2023,Japan,Toyota,GR Supra,I6_Turbo,382,500,8.9,70000,5500,4.2,1520,3.5,215
2023,Germany,Audi,RS5,V6_Turbo,450,600,9.2,88000,4600,3.5,1650,3.2,210
2023,UK,Jaguar,F-Type,V8,575,700,10.4,102000,2400,1.8,1650,3.0,230
2023,USA,Dodge,Challenger SRT,V8,807,958,11.8,79000,6800,5.2,1900,2.9,275
2023,Germany,Mercedes,AMG GT,V8_BiTurbo,720,800,10.1,170000,1600,1.23,1645,3.0,230
2023,Italy,Lamborghini,Huracan,V10,640,600,11.8,310000,850,0.65,1422,2.4,265
2023,USA,Chevrolet,Corvette Z06,V8,670,880,12.4,95000,2500,1.9,1560,2.6,275
2023,Germany,Porsche,Taycan Turbo,Electric,670,1050,11.2,165000,5200,4.0,2305,2.7,0
2023,USA,Tesla,Model S Plaid,Electric,1020,1050,12.8,140000,10500,8.1,2200,1.99,0
2023,China,BYD,Han EV,Electric,517,700,13.5,47000,15000,11.5,2100,3.8,0
2023,USA,Rivian,R1T,Electric,835,1120,16.0,75000,3200,2.5,2700,3.0,0
2024,USA,Ford,Mustang Mach-E,Electric,480,814,9.9,62000,20200,15.1,2200,3.2,0
2024,Germany,Porsche,911 Carrera,Flat-6,388,450,8.0,113000,6400,4.8,1450,3.2,175
2024,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,10.0,132000,2000,1.5,1740,2.0,230
2024,Italy,Ferrari,296 GTB,V6_Hybrid,819,740,9.1,340000,1600,1.2,1470,2.8,150
2024,UK,Aston Martin,Vantage,V8,656,800,11.0,185000,900,0.67,1620,3.2,255
2024,Germany,BMW,M4,V6_Turbo,523,650,8.4,93000,10200,7.6,1600,3.2,190
2024,USA,Chevrolet,Camaro SS,V8,455,617,10.8,51000,7800,5.8,1680,3.5,240
2024,Japan,Toyota,GR Supra,I6_Turbo,382,500,8.7,72000,5800,4.3,1520,3.4,210
2024,Germany,Audi,RS5,V6_Turbo,450,600,9.0,90000,4200,3.1,1650,3.1,205
2024,UK,Jaguar,F-Type,V8,575,700,10.2,104000,2100,1.6,1650,2.9,225
2024,USA,Dodge,Challenger SRT,V8,807,958,11.6,81000,6200,4.6,1900,2.8,270
2024,Germany,Mercedes,AMG GT,V8_BiTurbo,720,800,9.9,175000,1400,1.05,1645,2.9,225
2024,Italy,Lamborghini,Huracan,V10,640,600,11.6,320000,750,0.56,1422,2.3,260
2024,USA,Chevrolet,Corvette Z06,V8,670,880,12.2,98000,2200,1.6,1560,2.5,270
2024,Germany,Porsche,Taycan Turbo,Electric,670,1050,11.0,170000,5800,4.3,2305,2.6,0
2024,USA,Tesla,Model S Plaid,Electric,1020,1050,12.5,145000,11800,8.8,2200,1.98,0
2024,China,BYD,Han EV,Electric,517,700,13.2,49000,18500,13.8,2100,3.7,0
2024,USA,Rivian,R1T,Electric,835,1120,15.5,78000,4500,3.4,2700,2.9,0
2024,South Korea,Hyundai,Ioniq 5 N,Electric,641,770,12.0,67000,3800,2.8,2200,3.4,0
2025,USA,Ford,Mustang Mach-E,Electric,480,814,9.7,64000,22000,16.2,2200,3.1,0
2025,Germany,Porsche,911 Carrera,Flat-6,394,450,7.8,115000,6800,5.0,1450,3.1,170
2025,Japan,Nissan,GT-R,V6_Twin_Turbo,565,633,9.8,135000,1800,1.3,1740,1.95,225
2025,Italy,Ferrari,296 GTB,V6_Hybrid,819,740,8.9,350000,1750,1.3,1470,2.75,145
2025,UK,Aston Martin,Vantage,V8,656,800,10.8,195000,980,0.72,1620,3.1,250
2025,Germany,BMW,M4,V6_Turbo,543,650,8.2,95000,11000,8.1,1600,3.1,185
2025,USA,Chevrolet,Camaro SS,V8,455,617,10.6,52000,7200,5.3,1680,3.4,235
2025,Japan,Toyota,GR Supra,I6_Turbo,382,500,8.5,74000,6200,4.6,1520,3.3,205
2025,Germany,Audi,RS5,V6_Turbo,450,600,8.8,92000,3800,2.8,1650,3.0,200
2025,UK,Jaguar,F-Type,V8,575,700,10.0,106000,1800,1.3,1650,2.8,220
2025,USA,Dodge,Challenger SRT,V8,807,958,11.4,83000,5800,4.3,1900,2.7,265
2025,Germany,Mercedes,AMG GT,V8_BiTurbo,720,800,9.7,180000,1200,0.88,1645,2.8,220
2025,Italy,Lamborghini,Huracan,V10,640,600,11.4,330000,650,0.48,1422,2.2,255
2025,USA,Chevrolet,Corvette Z06,V8,670,880,12.0,101000,2000,1.5,1560,2.4,265
2025,Germany,Porsche,Taycan Turbo,Electric,670,1050,10.8,175000,6400,4.7,2305,2.5,0
2025,USA,Tesla,Model S Plaid,Electric,1020,1050,12.2,150000,13200,9.7,2200,1.95,0
2025,China,BYD,Han EV,Electric,517,700,13.0,51000,22000,16.2,2100,3.6,0
2025,USA,Rivian,R1T,Electric,835,1120,15.0,80000,5200,3.8,2700,2.8,0
2025,South Korea,Hyundai,Ioniq 5 N,Electric,641,770,11.8,69000,4500,3.3,2200,3.3,0
